playerID,yearID,SorR,stint,teamID,lgID,W,L,G,GS,GSPct,IPouts,IP,H,ER,HR,BB,WHIP,SO,SOPer9IP,ERA,R
hildeor01,1938,starter,1,SLA,AL,8,10,23,23,100,489,163,194,103,18,73,1.64,66,3.64,5.69,104
hubbeca01,1938,starter,1,NY1,NL,13,10,24,22,91.66666667,537,179,171,61,16,33,1.14,104,5.23,3.07,70
knottja01,1938,starter,2,CHA,AL,5,10,20,18,90,393,131,135,59,8,54,1.44,35,2.40,4.05,70
leeth01,1938,starter,1,CHA,AL,13,12,33,30,90.90909091,736,245.3333333,252,95,12,94,1.41,77,2.82,3.49,123
leonadu02,1938,starter,1,WS1,AL,12,15,33,31,93.93939394,670,223.3333333,221,85,11,53,1.23,68,2.74,3.43,109
lyonste01,1938,starter,1,CHA,AL,9,11,23,23,100,584,194.6666667,238,80,13,52,1.49,54,2.50,3.7,93
macfada01,1938,starter,1,BSN,NL,14,9,29,29,100,659,219.6666667,208,72,6,64,1.24,58,2.38,2.95,83
millsle01,1938,starter,1,SLA,AL,10,12,30,27,90,631,210.3333333,216,124,16,116,1.58,134,5.73,5.31,139
murphjo04,1938,reliever,1,NYA,AL,8,2,32,2,6.25,274,91.33333333,90,43,5,41,1.43,43,4.24,4.24,47
newsobo01,1938,starter,1,SLA,AL,20,16,44,40,90.90909091,989,329.6666667,334,186,30,192,1.6,226,6.17,5.08,205
pearsmo01,1938,starter,1,NYA,AL,16,7,28,27,96.42857143,606,202,198,89,12,113,1.54,98,4.37,3.97,107
rossbu02,1938,starter,1,PHA,AL,9,16,29,28,96.55172414,553,184.3333333,218,109,23,80,1.62,54,2.64,5.32,132
ruffire01,1938,starter,1,NYA,AL,21,7,31,31,100,742,247.3333333,246,91,16,82,1.33,127,4.62,3.31,104
russeja01,1938,reliever,1,CHN,NL,6,1,42,0,0,307,102.3333333,100,38,1,30,1.27,29,2.55,3.34,43
schumha02,1938,starter,1,NY1,NL,13,8,28,28,100,555,185,178,72,12,50,1.23,54,2.63,3.5,81
smithal03,1938,reliever,1,PHI,NL,1,4,37,1,2.702702703,258,86,115,60,7,40,1.8,46,4.81,6.28,70
turneji01,1938,starter,1,BSN,NL,14,18,35,34,97.14285714,804,268,267,103,21,54,1.2,71,2.38,3.46,123
vandejo01,1938,starter,1,CIN,NL,15,10,32,29,90.625,676,225.3333333,177,78,12,103,1.24,125,4.99,3.12,89
